id,label,Spearman_allwords,Spearman_dependents,adjacent_post,adjacent_tag,nearest_dep,nearest_dep_tag,pmi_adjacent,pmi_neardep,root_verb
cf02.18.1,post-adv,0.376790582,1,categorically,RB,categorically,RB,0.508775923,0.508775923,state
cf02.19.0,ref,0.415148015,1,begun,VBN,begun,VBN,0.506381559,0.506381559,was
cf02.19.1,post-adj2,-0.024891102,1,begun,VBN,begun,VBN,0.506381559,0.506381559,was
cf02.28.0,ref,-0.054554473,-1,the,DT,stage,NN,-4.972718629,0.301443272,was
cf02.28.1,pre-adj2,-0.054554473,-1,the,DT,thus,RB,-4.972718629,0.508775923,was
cf02.28.2,post-adj2,-0.163663418,-1,the,DT,stage,NN,-4.972718629,0.301443272,was
cf02.32.0,ref,-0.053101421,0,that,IN,that,IN,-2.88295062,-2.88295062,knew
cf02.32.1,post-adj2,-0.162844357,0,that,IN,that,IN,-2.88295062,-2.88295062,knew
cf02.35.0,ref,0.029867218,1,to,TO,to,TO,0.903833231,0.903833231,went
cf02.35.1,pre-adv,0.076076779,1,to,TO,to,TO,0.903833231,0.903833231,went
cf02.38.0,ref,0.368932394,-1,not,RB,not,RB,0.508775923,0.508775923,was
cf02.38.1,pre-adv,0.3924974,0.5,not,RB,not,RB,0.508775923,0.508775923,was
cf02.48.0,ref,-0.561360891,0,that,DT,handmaiden,NN,-4.972718629,0.301443272,was
cf02.48.1,pre-adj2,-0.561360891,0,that,DT,everywhere,RB,-4.972718629,0.508775923,was
cf02.49.0,ref,0.405202573,0,been,VBN,been,VBN,0.506381559,0.506381559,had
cf02.49.1,post-adj2,0.484294448,0,been,VBN,been,VBN,0.506381559,0.506381559,had
cf02.50.0,ref,-0.096364117,0,come,VBN,come,VBN,0.506381559,0.506381559,had
cf02.50.1,post-adv,-0.148834631,0,come,VBN,come,VBN,0.506381559,0.506381559,had
cf02.52.0,ref,0.2,0,said,VBD,said,VBD,0.506381559,0.506381559,had
cf02.52.1,quote,0.028571429,0,said,VBD,said,VBD,0.506381559,0.506381559,had
cf02.57.0,ref,-0.9,0,until,IN,until,IN,-2.88295062,-2.88295062,fire
cf02.57.1,post-adv,0,0,,,not,RB,0,0.508775923,fire
cf02.61.0,ref,0.586836868,0.5,his,PRP$,What,WP,0.701568669,0.701568669,would
cf02.61.1,post-adj2,0.706599495,0.5,his,PRP$,What,WP,0.701568669,0.701568669,would
cf02.62.0,ref,0.043970481,-1,that,IN,that,IN,-2.88295062,-2.88295062,decided
cf02.62.1,post-adv,-0.00598747,-1,that,IN,that,IN,-2.88295062,-2.88295062,decided
cf02.62.2,pre-adv,-0.165902807,-1,that,IN,that,IN,-2.88295062,-2.88295062,decided
cf02.64.0,ref,-0.204593493,-1,at,IN,at,IN,-2.88295062,-2.88295062,gazed
cf02.64.1,pre-adj2,-0.204593493,-1,at,IN,at,IN,-2.88295062,-2.88295062,gazed
cf02.65.0,ref,-0.051654824,0.5,lights,NNS,lights,NNS,0.301443272,0.301443272,were
cf02.65.1,post-adv,-0.202919862,-1,lights,NNS,lights,NNS,0.301443272,0.301443272,were
cf02.66.0,ref,0,0,,,he,PRP,0,0.701568669,thought
cf02.66.1,quote,0,0,he,PRP,he,PRP,0.701568669,0.701568669,thought
cf02.70.0,ref,-0.092401009,0,pressing,VBG,pressing,VBG,0.506381559,0.506381559,was
cf02.70.1,post-adv,-0.316227766,0,pressing,VBG,pressing,VBG,0.506381559,0.506381559,was
cf02.72.0,ref,-0.049428827,0,happy,JJ,happy,JJ,-1.503254446,-1.503254446,seemed
cf02.72.1,post-adj2,-0.162785604,0,happy,JJ,happy,JJ,-1.503254446,-1.503254446,seemed
cf02.73.0,ref,-0.3,0,gone,VBN,gone,VBN,0.506381559,0.506381559,had
cf02.73.1,post-adj2,0.6,0,gone,VBN,gone,VBN,0.506381559,0.506381559,had
cf02.88.0,ref,-0.5,-1,at,IN,at,IN,-2.88295062,-2.88295062,snatched
cf02.88.1,post-adj2,-0.5,1,savagely,RB,savagely,RB,0.508775923,0.508775923,snatched
cf02.101.0,ref,0.073877517,0,and,CC,and,CC,0.067896977,0.067896977,slowed
cf02.101.1,post-adj2,0.063663636,0,and,CC,and,CC,0.067896977,0.067896977,slowed
cf02.106.0,ref,-0.094449915,0,abandoned,VBN,abandoned,VBN,0.506381559,0.506381559,was
cf02.106.1,post-adv,0.162133892,0,abandoned,VBN,abandoned,VBN,0.506381559,0.506381559,was
cf02.106.2,pre-adv,0.093443143,1,abandoned,VBN,abandoned,VBN,0.506381559,0.506381559,was
cf02.112.0,ref,-0.866025404,-0.866025404,down,IN,down,IN,-2.88295062,-2.88295062,went
cf02.112.1,post-adj3,0,0,early,RB,early,RB,0.508775923,0.508775923,went
cf02.112.2,post-adj3,0.866025404,0.866025404,too,RB,too,RB,0.508775923,0.508775923,went
cf02.112.3,post-adj3,-0.866025404,-0.866025404,down,IN,down,IN,-2.88295062,-2.88295062,went
cf02.112.4,post-adj3,0,0,too,RB,Bascom,NNP,0.508775923,-0.405923499,went
cf02.112.5,post-adj3,0.866025404,0.866025404,early,RB,early,RB,0.508775923,0.508775923,went
cf02.117.0,ref,0.238622507,1,wildly,RB,wildly,RB,0.508775923,0.508775923,fired
cf02.117.1,post-adj2,-0.532311746,-1,at,IN,at,IN,-2.88295062,-2.88295062,fired
cf02.118.0,ref,0.193464986,-0.5,on,IN,on,IN,-2.88295062,-2.88295062,rushed
cf02.118.1,post-adv,-0.1784677,-0.5,on,IN,on,IN,-2.88295062,-2.88295062,rushed
cf02.120.0,ref,0.321502394,0.5,not,RB,not,RB,0.508775923,0.508775923,was
cf02.120.1,post-adv,0.192901437,0.5,not,RB,not,RB,0.508775923,0.508775923,was
cf03.1.0,ref,-0.35995466,1,a,DT,There,EX,-4.972718629,0.903833231,is
cf03.1.1,post-adv,-0.316227766,0,a,DT,there,EX,-4.972718629,0.903833231,is
cf03.2.0,ref,-0.017758933,0,I,PRP,You,PRP,0.701568669,0.701568669,explain
cf03.2.1,post-adj2,0.124312528,0,I,PRP,You,PRP,0.701568669,0.701568669,explain
cf03.5.0,ref,-0.114133807,0,to,TO,to,TO,0.903833231,0.903833231,refers
cf03.5.1,post-adv,-0.124834824,0,to,TO,to,TO,0.903833231,0.903833231,refers
cf03.6.0,ref,-0.463080178,0.866025404,these,DT,psychiatrists,NNS,-4.972718629,0.301443272,dismiss
cf03.6.1,post-adv,-0.576657603,1,these,DT,psychiatrists,NNS,-4.972718629,0.301443272,dismiss
cf03.8.0,ref,-0.383956268,1,an,DT,we,PRP,-4.972718629,0.701568669,have
cf03.8.1,pre-adv,0.036099148,-0.5,an,DT,We,PRP,-4.972718629,0.701568669,have
cf03.9.0,ref,-0.031289311,0,examples,NNS,examples,NNS,0.301443272,0.301443272,are
cf03.9.1,post-adj2,-0.205615472,0,examples,NNS,examples,NNS,0.301443272,0.301443272,are
cf03.10.0,ref,-0.470007764,-0.5,the,DT,occurrences,NNS,-4.972718629,0.301443272,detailed
cf03.10.1,post-adj2,-0.470007764,-0.5,the,DT,occurrences,NNS,-4.972718629,0.301443272,detailed
cf03.11.0,ref,0.463045998,0,altered,VBN,altered,VBN,0.506381559,0.506381559,was
cf03.11.1,post-adv,-1,0,altered,VBN,altered,VBN,0.506381559,0.506381559,was
cf03.12.0,ref,0.017025131,0.866025404,us,PRP,us,PRP,0.701568669,0.701568669,tells
cf03.12.1,post-adj2,0.153226176,0.866025404,us,PRP,us,PRP,0.701568669,0.701568669,tells
cf03.13.0,ref,-0.167264634,0,obstructed,VBN,obstructed,VBN,0.506381559,0.506381559,was
cf03.13.1,pre-adv,-0.126383122,0,obstructed,VBN,obstructed,VBN,0.506381559,0.506381559,was
cf03.15.0,ref,-0.169869406,-0.5,more,JJR,more,JJR,-1.503254446,-1.503254446,contributed
cf03.15.1,post-adj2,-0.161865089,0.5,to,TO,to,TO,0.903833231,0.903833231,contributed
cf03.21.0,ref,0.280095275,0,to,TO,to,TO,0.903833231,0.903833231,refers
cf03.21.1,pre-adv,-0.041083756,1,to,TO,to,TO,0.903833231,0.903833231,refers
cf03.25.0,ref,-0.384741882,0,a,DT,phenomenon,NN,-4.972718629,0.301443272,is
cf03.25.1,post-adv,-0.384741882,0,a,DT,phenomenon,NN,-4.972718629,0.301443272,is
cf03.28.0,ref,0.031907573,1,himself,PRP,himself,PRP,0.701568669,0.701568669,sees
cf03.28.1,post-adv,0.18890055,1,himself,PRP,himself,PRP,0.701568669,0.701568669,sees
cf03.31.0,ref,0.267634316,0.872081599,actually,RB,actually,RB,0.508775923,0.508775923,is
cf03.31.1,post-adj2,0.267634316,0.872081599,actually,RB,actually,RB,0.508775923,0.508775923,is
cf03.35.0,ref,-0.021296892,0,passed,VBN,passed,VBN,0.506381559,0.506381559,says
cf03.35.1,pre-adj2,-0.089624419,0,passed,VBN,passed,VBN,0.506381559,0.506381559,says
cf03.35.2,post-adj2,0.005324223,0,passed,VBN,passed,VBN,0.506381559,0.506381559,says
cf03.37.0,ref,-0.039710152,-1,logical,JJ,logical,JJ,-1.503254446,-1.503254446,seems
cf03.37.1,pre-adv,-0.076203734,0.5,logical,JJ,logical,JJ,-1.503254446,-1.503254446,seems
cf03.40.0,ref,-0.187934683,0,that,IN,that,IN,-2.88295062,-2.88295062,know
cf03.40.1,post-adv,-0.272973001,0,that,IN,that,IN,-2.88295062,-2.88295062,know
cf03.42.0,ref,-0.135528356,1,it,PRP,it,PRP,0.701568669,0.701568669,makes
cf03.42.1,post-adj2,-0.001489323,1,it,PRP,it,PRP,0.701568669,0.701568669,makes
cf03.46.0,ref,0.036232343,1,the,DT,seconds,NNS,-4.972718629,0.301443272,is
cf03.46.1,post-adv,-0.167246394,1,the,DT,seconds,NNS,-4.972718629,0.301443272,is
cf03.48.0,ref,-0.206410437,1,the,DT,impression,NN,-4.972718629,0.301443272,bear
cf03.48.1,post-adv,-0.258492131,0,the,DT,impression,NN,-4.972718629,0.301443272,bear
cf03.50.0,ref,-0.404468807,0,in,IN,in,IN,-2.88295062,-2.88295062,continues
cf03.50.1,post-adv,-0.321856261,0,in,IN,in,IN,-2.88295062,-2.88295062,continues
cf03.50.2,pre-adv,-0.337450553,-1,in,IN,in,IN,-2.88295062,-2.88295062,continues
cf03.51.0,ref,-0.214367659,0,be,VB,be,VB,0.506381559,0.506381559,must
cf03.51.1,post-adv,0.129800601,0,although,IN,it,PRP,-2.88295062,0.701568669,must
cf03.51.2,pre-adv,0.039627323,1,be,VB,be,VB,0.506381559,0.506381559,must
cf03.52.0,ref,-0.094864698,0,that,IN,that,IN,-2.88295062,-2.88295062,dreamed
cf03.52.1,dat-np-np,-0.170407093,0,that,IN,that,IN,-2.88295062,-2.88295062,dreamed
cf03.53.0,ref,0.187276437,0,about,IN,to,TO,-2.88295062,0.903833231,was
cf03.53.1,post-adj2,0.025537696,0,about,IN,to,TO,-2.88295062,0.903833231,was
cf03.62.0,ref,-0.6,1,final,JJ,obliteration,NN,-1.503254446,0.301443272,escape
cf03.62.1,post-adv,-1,0,final,JJ,obliteration,NN,-1.503254446,0.301443272,escape
cf03.63.0,ref,0.657142857,1,not,RB,not,RB,0.508775923,0.508775923,can
cf03.63.1,pre-adv,0.398544104,0.866025404,not,RB,not,RB,0.508775923,0.508775923,can
cf03.64.0,ref,0.070966052,0,notably,RB,there,EX,0.508775923,0.903833231,are
cf03.64.1,pre-adv,0.091201352,0,notably,RB,there,EX,0.508775923,0.903833231,are
cf03.64.2,post-adj2,0.075146114,0,notably,RB,there,EX,0.508775923,0.903833231,are
cf03.65.0,ref,-0.162834737,0,a,DT,it,PRP,-4.972718629,0.701568669,is
cf03.65.1,pre-adj2,-0.162834737,0,a,DT,it,PRP,-4.972718629,0.701568669,is
cf03.65.2,pre-adv,-0.031196621,1,a,DT,it,PRP,-4.972718629,0.701568669,is
cf03.66.0,ref,-0.065249634,0,attending,VBG,attending,VBG,0.506381559,0.506381559,was
cf03.66.1,post-adv,0.252615438,0,attending,VBG,attending,VBG,0.506381559,0.506381559,was
cf03.67.0,ref,0.142870797,0,and,CC,and,CC,0.067896977,0.067896977,arose
cf03.67.1,pre-adv,-0.218288899,1,and,CC,and,CC,0.067896977,0.067896977,arose
cf03.68.0,ref,0.532919784,0,have,VB,have,VB,0.506381559,0.506381559,would
cf03.68.1,pre-adv,0.300203401,1,have,VB,have,VB,0.506381559,0.506381559,would
cf03.68.2,post-adj2,0.532919784,0,have,VB,have,VB,0.506381559,0.506381559,would
cf03.70.0,ref,-0.006025846,1,exactly,RB,He,PRP,0.508775923,0.701568669,remembered
cf03.70.1,post-adj2,-0.042180922,1,exactly,RB,He,PRP,0.508775923,0.701568669,remembered
cf04.4.0,ref,1,0,taste,VB,taste,VB,0.506381559,0.506381559,does
cf04.4.1,pre-adv,0.173043867,1,taste,VB,taste,VB,0.506381559,0.506381559,does
cf04.5.0,ref,-0.017435898,0,laid,VBN,laid,VBN,0.506381559,0.506381559,is
cf04.5.1,post-adv,-0.017435898,0,laid,VBN,laid,VBN,0.506381559,0.506381559,is
cf04.5.2,pre-adv,-0.194845671,0,laid,VBN,laid,VBN,0.506381559,0.506381559,is
cf04.9.0,ref,-0.395480981,0,that,IN,that,IN,-2.88295062,-2.88295062,believes
cf04.9.1,post-adj2,-0.370034483,0,that,IN,that,IN,-2.88295062,-2.88295062,believes
cf04.13.0,ref,0.45485556,1,always,RB,always,RB,0.508775923,0.508775923,has
cf04.13.1,post-adv,0.8,1,always,RB,always,RB,0.508775923,0.508775923,has
cf04.18.0,ref,-0.029977568,0,in,IN,in,IN,-2.88295062,-2.88295062,said
cf04.18.1,post-adv,-0.22251391,0,in,IN,in,IN,-2.88295062,-2.88295062,said
cf04.18.2,quote,-0.071372313,1,Mr.,NNP,Clark,NNP,-0.405923499,-0.405923499,said
cf04.23.0,ref,-0.178590743,0,on,IN,on,IN,-2.88295062,-2.88295062,existed
cf04.23.1,post-adj2,-0.025595131,0,with,IN,with,IN,-2.88295062,-2.88295062,existed
cf04.24.0,ref,-0.155699789,0,kept,VBN,kept,VBN,0.506381559,0.506381559,were
cf04.24.1,post-adj2,0.369786998,0,kept,VBN,kept,VBN,0.506381559,0.506381559,were
cf04.28.0,ref,0.511695226,0,asking,VBG,asking,VBG,0.506381559,0.506381559,began
cf04.28.1,post-adv,0.239127071,0,asking,VBG,asking,VBG,0.506381559,0.506381559,began
cf04.28.2,pre-adv,0.503613292,0.866025404,asking,VBG,asking,VBG,0.506381559,0.506381559,began
cf04.29.0,ref,0.531688168,0,to,TO,to,TO,0.903833231,0.903833231,stooped
cf04.29.1,post-adv,0.531688168,0,to,TO,to,TO,0.903833231,0.903833231,stooped
cf04.33.0,ref,0.122157645,0,enough,JJ,garden,NN,-1.503254446,0.301443272,supplies
cf04.33.1,post-adj2,0.071650157,0,enough,JJ,garden,NN,-1.503254446,0.301443272,supplies
cf04.41.0,ref,-0.446082867,0.5,a,DT,Adults,NNS,-4.972718629,0.301443272,take
cf04.41.1,post-adv,-0.419047542,0.5,a,DT,Adults,NNS,-4.972718629,0.301443272,take
cf04.50.0,ref,0.318738872,1,to,TO,to,TO,0.903833231,0.903833231,begins
cf04.50.1,pre-adv,0.236813759,0.8,to,TO,to,TO,0.903833231,0.903833231,begins
cf04.58.0,ref,-0.198206242,-0.5,the,DT,secretary,NN,-4.972718629,0.301443272,said
cf04.58.1,iquote,0.6,1,ruefully,RB,ruefully,RB,0.508775923,0.508775923,said
cf04.60.0,ref,-0.026056596,1,not,RB,not,RB,0.508775923,0.508775923,has
cf04.60.1,post-adv,0.654653671,1,not,RB,not,RB,0.508775923,0.508775923,has
cf04.61.0,ref,-0.062649855,-0.6,cold,JJ,first,RB,-1.503254446,0.508775923,eliminated
cf04.61.1,pre-adv,-0.097652448,-0.564288094,cold,JJ,first,RB,-1.503254446,0.508775923,eliminated
cf04.65.0,ref,-1,0,the,DT,they,PRP,-4.972718629,0.701568669,miss
cf04.65.1,pre-adv,-0.299406565,-1,the,DT,They,PRP,-4.972718629,0.701568669,miss
cf04.81.0,ref,-0.239045722,0,on,IN,on,IN,-2.88295062,-2.88295062,is
cf04.81.1,post-adj2,-0.239045722,0,once,IN,once,IN,-2.88295062,-2.88295062,is
cf04.83.0,ref,-0.213509575,0,fruit,NN,fruit,NN,0.301443272,0.301443272,are
cf04.83.1,post-adv,0.105409255,0,fruit,NN,fruit,NN,0.301443272,0.301443272,are
cf04.86.0,ref,0.168686942,0,shipped,VBN,shipped,VBN,0.506381559,0.506381559,are
cf04.86.1,post-adj3,0.18073601,0,shipped,VBN,shipped,VBN,0.506381559,0.506381559,are
cf04.86.2,post-adj3,0.012049067,0,shipped,VBN,shipped,VBN,0.506381559,0.506381559,are
cf04.86.3,post-adj3,0.096392539,0,shipped,VBN,shipped,VBN,0.506381559,0.506381559,are
cf04.86.4,post-adj3,0,0,shipped,VBN,shipped,VBN,0.506381559,0.506381559,are
cf04.86.5,post-adj3,0.084343471,0,shipped,VBN,shipped,VBN,0.506381559,0.506381559,are
cf04.89.0,ref,0.727859378,0,to,TO,to,TO,0.903833231,0.903833231,offered
cf04.89.1,post-adj2,0.544365417,0,to,TO,to,TO,0.903833231,0.903833231,offered
cf04.91.0,ref,0.382192819,0,to,TO,to,TO,0.903833231,0.903833231,hopes
cf04.91.1,post-adv,-0.306870146,0,so,IN,Colman,NNP,-2.88295062,-0.405923499,hopes
cf04.99.0,ref,0.357204697,0,handed,VBN,handed,VBN,0.506381559,0.506381559,are
cf04.99.1,pre-adv,-0.052217625,1,handed,VBN,handed,VBN,0.506381559,0.506381559,are
cf04.104.0,ref,0.018974615,0,made,VBN,made,VBN,0.506381559,0.506381559,is
cf04.104.1,post-adj2,0.113847688,0,made,VBN,made,VBN,0.506381559,0.506381559,is
cf04.111.0,ref,0.086965655,1,often,RB,often,RB,0.508775923,0.508775923,is
cf04.111.1,post-adj2,-0.637748139,-1,at,IN,at,IN,-2.88295062,-2.88295062,is
cf04.113.0,ref,-0.110268156,0,that,IN,that,IN,-2.88295062,-2.88295062,finds
cf04.113.1,post-adv,-0.326563384,0,that,IN,that,IN,-2.88295062,-2.88295062,finds
cf04.116.0,ref,-0.243256386,0,the,DT,Clark,NNP,-4.972718629,-0.405923499,felt
cf04.116.1,pre-adv,-0.106428051,1,the,DT,Clark,NNP,-4.972718629,-0.405923499,felt
cf04.120.0,ref,0.159774792,1,he,PRP,he,PRP,0.701568669,0.701568669,feels
cf04.120.1,post-adv,0.752578676,0,he,PRP,he,PRP,0.701568669,0.701568669,feels
cf05.2.0,ref,-0.17549223,-1,as,IN,as,IN,-2.88295062,-2.88295062,whined
cf05.2.1,post-adv,0.105402628,0,but,CC,wires,NNS,0.067896977,0.301443272,whined
cf05.3.0,ref,0.096100624,1,ahead,RB,ahead,RB,0.508775923,0.508775923,peered
cf05.3.1,post-adv,0.5,1,ahead,RB,ahead,RB,0.508775923,0.508775923,peered
cf05.6.0,ref,-0.231908414,0,strewn,VBN,strewn,VBN,0.506381559,0.506381559,lay
cf05.6.1,post-adj2,0.579771036,0,strewn,VBN,strewn,VBN,0.506381559,0.506381559,lay
cf05.9.0,ref,-0.238641719,1,fallen,VBN,fallen,VBN,0.506381559,0.506381559,had
cf05.9.1,post-adv,-0.071545072,1,fallen,VBN,fallen,VBN,0.506381559,0.506381559,had
cf05.11.0,ref,0.144397641,-1,miles,NNS,miles,NNS,0.301443272,0.301443272,counted
cf05.11.1,post-adj2,0.162447346,-1,miles,NNS,miles,NNS,0.301443272,0.301443272,counted
cf05.12.0,ref,-0.948683298,0,the,DT,problems,NNS,-4.972718629,0.301443272,were
cf05.12.1,pre-adv,-0.237159699,-1,the,DT,problems,NNS,-4.972718629,0.301443272,were
cf05.13.0,ref,0.28985142,0,be,VB,be,VB,0.506381559,0.506381559,could
cf05.13.1,post-adj2,0.484051871,0,be,VB,be,VB,0.506381559,0.506381559,could
cf05.16.0,ref,-0.220997848,-1,a,DT,it,PRP,-4.972718629,0.701568669,seemed
